,rating,reviews,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout,amenities_list,amenities_count,region,bathroom_shared,bathroom_private,toilet_only,no_rating
819,5.0,4,3.901120414089931,India,3.0,2,6,0,2,0,3 00 pm - 8 00 pm,10 00 am,"['Public or shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Paid washing machine', 'Air conditioning', 'Private patio or balcony']",8,Goa,0,0,0,0
820,5.0,6,3.6407517210909464,India,2.0,3,4,0,2,0,After 1 00 pm,11 00 am,"['River view', 'Sea view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washing machine']",8,Goa,0,0,0,0
821,4.57,7,3.765115109508356,India,1.0,2,2,0,1,0,After 2 00 pm,11 00 am,"['Wifi', 'TV', 'Lift', 'Air conditioning', 'Patio or balcony', 'Garden', 'Children’s books and toys', 'Smoking allowed']",8,Goa,0,1,0,0
822,,2,3.8942760950226556,India,1.0,2,3,0,1,0,After 2 00 pm,11 00 am,"['Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free on-street parking', 'Shared pool – available all year', 'open specific hours', 'AC – split-type ductless system']",9,Goa,0,0,0,1
823,4.72,36,4.709313093191637,India,2.0,3,5,0,2,0,After 3 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Pets allowed', 'TV with standard cable/satellite', 'Washing machine', 'Dryer']",8,Goa,0,0,0,0
824,4.79,39,3.0926840405942677,India,1.0,2,4,0,2,0,12 00 pm - 7 00 pm,10 00 am,"['Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '14"" HDTV with cable/satellite TV', 'Air conditioning', 'Private patio or balcony']",8,Goa,0,0,0,0
825,4.75,36,4.14389939857561,India,1.0,2,4,0,2,0,After 2 00 pm,11 00 am,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'HDTV with standard cable/satellite', 'Free washer – In unit', 'AC – split-type ductless system']",8,Goa,0,0,0,0
826,4.65,37,3.565622124465599,India,2.0,4,7,0,2,0,After 12 00 pm,10 00 am,"['Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable/satellite', 'Window AC unit', 'Private patio or balcony']",8,Goa,0,0,0,0
827,,1,3.164915692910514,India,1.0,1,2,0,1,0,After 12 00 pm,Unknown,"['Beach access', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Bath', 'Patio or balcony', 'Security cameras on property']",8,Goa,0,1,0,1
828,5.0,5,4.755457992832319,India,3.0,3,8,0,3,0,After 2 00 pm,11 00 am,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool – available all year', 'TV', 'Washing machine']",8,Goa,0,0,0,0
829,4.68,26,3.3304818568637575,India,1.5,1,2,0,1,0,After 1 00 pm,11 00 am,"['Sea view', 'Beach access – Beachfront', 'Wifi', 'Free on-street parking', 'Air conditioning', 'Patio or balcony', 'Smoking allowed', 'Long-term stays allowed']",8,Goa,0,0,0,0
830,4.71,208,3.966419912358814,India,2.0,3,7,0,2,0,After 1 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable/satellite', 'Air conditioning', 'Luggage drop-off allowed']",8,Goa,0,0,0,0
831,4.73,195,3.9059806909721835,India,2.0,2,7,0,2,0,After 1 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable/satellite', 'Washing machine', 'Air conditioning']",8,Goa,0,0,0,0
832,4.61,18,3.726709023986986,India,3.0,3,6,0,3,0,After 12 00 pm,10 00 am,"['Ocean view', 'Sea view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Air conditioning']",8,Goa,0,0,0,0
833,4.87,31,3.2298991811596447,India,1.0,2,4,0,2,0,12 00 pm - 2 00 pm,12 00 pm,"['Mountain view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 50 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Washing machine', 'Dryer']",8,Goa,0,0,0,0
834,4.94,16,5.0238805208462765,India,4.0,4,13,0,4,0,After 1 00 pm,11 00 am,"['Courtyard view', 'Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Pets allowed', 'TV']",8,Goa,0,0,0,0
835,4.7,42,3.1999017698738155,India,1.0,2,4,0,2,0,Flexible,12 00 pm,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Air conditioning', 'Private patio or balcony', 'Garden']",8,Goa,0,0,0,0
836,,2,3.693387350553126,India,1.0,1,3,0,1,0,After 2 00 pm,11 00 am,"['Garden view', 'Mountain view', 'Public or shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Security cameras on property']",8,Goa,0,0,0,1
837,4.98,54,3.565962781937808,India,1.0,1,2,0,1,0,After 12 00 pm,11 00 am,"['Beach access – Beachfront', 'Wifi', 'Free parking on premises', 'Air conditioning', 'Private patio or balcony', 'Luggage drop-off allowed', 'Refrigerator', 'Smoking allowed']",8,Goa,0,1,0,0
838,4.85,20,2.938715593113755,India,1.5,1,3,0,1,0,After 2 00 pm,11 00 am,"['Public or shared beach access', 'Kitchen', 'Wifi – 44 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'AC – split-type ductless system', 'Bath']",9,Goa,0,0,0,0
839,4.71,7,3.7516279705340754,India,2.5,2,6,0,2,0,Unknown,Unknown,"['Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed', 'TV']",8,Goa,0,0,0,0
840,4.83,86,2.563094069359791,India,1.0,1,1,0,1,0,After 1 00 pm,Unknown,"['Wifi', 'Free parking on premises', 'Washing machine', 'Smoking allowed', 'Long-term stays allowed']",5,Goa,0,1,0,0
